league,season,team,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
ESP-La Liga,9495,Real Madrid,25,27.3,,38,,3420,38,,,,,,,62,,,,,,,/en/squads/53a2f082/1994-1995/Real-Madrid-Stats
ESP-La Liga,9495,Real Sociedad,20,25.7,,38,,3420,38,,,,,,,81,,,,,,,/en/squads/e31d1cd9/1994-1995/Real-Sociedad-Stats
ESP-La Liga,9495,Sevilla,21,27.5,,38,,3420,38,,,,,,,91,,,,,,,/en/squads/ad2be733/1994-1995/Sevilla-Stats
ESP-La Liga,9495,Sporting Gijón,31,24.0,,38,,3420,38,,,,,,,104,,,,,,,/en/squads/bb9efd50/1994-1995/Sporting-Gijon-Stats
ESP-La Liga,9495,Tenerife,21,26.1,,38,,3420,38,,,,,,,74,,,,,,,/en/squads/27cc9c62/1994-1995/Tenerife-Stats
ESP-La Liga,9495,Valencia,23,27.8,,38,,3420,38,,,,,,,82,,,,,,,/en/squads/dcc91a7b/1994-1995/Valencia-Stats
ESP-La Liga,9495,Valladolid,34,24.4,,38,,3420,38,,,,,,,91,,,,,,,/en/squads/17859612/1994-1995/Valladolid-Stats
ESP-La Liga,9495,Zaragoza,24,26.8,,38,,3420,38,,,,,,,116,,,,,,,/en/squads/800303a0/1994-1995/Zaragoza-Stats
ESP-La Liga,9596,Albacete,31,25.3,,42,,3780,42,,,,,,,119,,,,,,,/en/squads/b7e3e46e/1995-1996/Albacete-Stats
ESP-La Liga,9596,Athletic Club,26,24.2,,42,,3780,42,,,,,,,97,,,,,,,/en/squads/2b390eca/1995-1996/Athletic-Club-Stats
ESP-La Liga,9596,Atlético Madrid,21,25.9,,42,,3780,42,,,,,,,115,,,,,,,/en/squads/db3b9613/1995-1996/Atletico-Madrid-Stats
ESP-La Liga,9596,Barcelona,30,25.2,,42,,3780,42,,,,,,,124,,,,,,,/en/squads/206d90db/1995-1996/Barcelona-Stats
ESP-La Liga,9596,Celta Vigo,22,27.7,,42,,3780,42,,,,,,,128,,,,,,,/en/squads/f25da7fb/1995-1996/Celta-Vigo-Stats
ESP-La Liga,9596,Compostela,22,27.9,,42,,3780,42,,,,,,,104,,,,,,,/en/squads/63505675/1995-1996/Compostela-Stats
ESP-La Liga,9596,Dep La Coruña,25,28.6,,42,,3780,42,,,,,,,74,,,,,,,/en/squads/2a60ed82/1995-1996/Deportivo-La-Coruna-Stats
ESP-La Liga,9596,Espanyol,22,25.9,,42,,3780,42,,,,,,,105,,,,,,,/en/squads/a8661628/1995-1996/Espanyol-Stats
ESP-La Liga,9596,Mérida,25,27.3,,42,,3780,42,,,,,,,118,,,,,,,/en/squads/819b92aa/1995-1996/Merida-Stats
ESP-La Liga,9596,Oviedo,31,25.3,,42,,3780,42,,,,,,,123,,,,,,,/en/squads/ab358912/1995-1996/Oviedo-Stats
ESP-La Liga,9596,Racing Sant,25,26.3,,42,,3780,42,,,,,,,126,,,,,,,/en/squads/dee3bbc8/1995-1996/Racing-Santander-Stats
ESP-La Liga,9596,Rayo Vallecano,25,27.3,,42,,3780,42,,,,,,,125,,,,,,,/en/squads/98e8af82/1995-1996/Rayo-Vallecano-Stats
ESP-La Liga,9596,Real Betis,23,26.4,,42,,3780,42,,,,,,,125,,,,,,,/en/squads/fc536746/1995-1996/Real-Betis-Stats
ESP-La Liga,9596,Real Madrid,29,27.2,,42,,3780,42,,,,,,,103,,,,,,,/en/squads/53a2f082/1995-1996/Real-Madrid-Stats
ESP-La Liga,9596,Real Sociedad,23,25.7,,42,,3780,42,,,,,,,108,,,,,,,/en/squads/e31d1cd9/1995-1996/Real-Sociedad-Stats
ESP-La Liga,9596,Salamanca,22,27.5,,42,,3780,42,,,,,,,92,,,,,,,/en/squads/c32656d6/1995-1996/Salamanca-Stats
ESP-La Liga,9596,Sevilla,30,27.1,,42,,3780,42,,,,,,,121,,,,,,,/en/squads/ad2be733/1995-1996/Sevilla-Stats
ESP-La Liga,9596,Sporting Gijón,29,26.2,,42,,3780,42,,,,,,,119,,,,,,,/en/squads/bb9efd50/1995-1996/Sporting-Gijon-Stats
ESP-La Liga,9596,Tenerife,21,26.3,,42,,3780,42,,,,,,,128,,,,,,,/en/squads/27cc9c62/1995-1996/Tenerife-Stats
ESP-La Liga,9596,Valencia,21,26.8,,42,,3780,42,,,,,,,130,,,,,,,/en/squads/dcc91a7b/1995-1996/Valencia-Stats
ESP-La Liga,9596,Valladolid,29,23.9,,42,,3780,42,,,,,,,122,,,,,,,/en/squads/17859612/1995-1996/Valladolid-Stats
ESP-La Liga,9596,Zaragoza,22,26.0,,42,,3780,42,,,,,,,137,,,,,,,/en/squads/800303a0/1995-1996/Zaragoza-Stats
ESP-La Liga,9697,Athletic Club,25,25.0,,42,,3780,42,,,,,,,101,,,,,,,/en/squads/2b390eca/1996-1997/Athletic-Club-Stats
ESP-La Liga,9697,Atlético Madrid,26,25.8,,42,,3780,42,,,,,,,125,,,,,,,/en/squads/db3b9613/1996-1997/Atletico-Madrid-Stats
ESP-La Liga,9697,Barcelona,25,25.7,,42,,3780,42,,,,,,,103,,,,,,,/en/squads/206d90db/1996-1997/Barcelona-Stats
ESP-La Liga,9697,Celta Vigo,26,27.9,,42,,3780,42,,,,,,,112,,,,,,,/en/squads/f25da7fb/1996-1997/Celta-Vigo-Stats
ESP-La Liga,9697,Compostela,26,28.1,,42,,3780,42,,,,,,,111,,,,,,,/en/squads/63505675/1996-1997/Compostela-Stats
ESP-La Liga,9697,Dep La Coruña,28,27.7,,42,,3780,42,,,,,,,95,,,,,,,/en/squads/2a60ed82/1996-1997/Deportivo-La-Coruna-Stats
ESP-La Liga,9697,Espanyol,28,26.7,,42,,3780,42,,,,,,,105,,,,,,,/en/squads/a8661628/1996-1997/Espanyol-Stats
ESP-La Liga,9697,Extremadura,24,27.5,,42,,3780,42,,,,,,,95,,,,,,,/en/squads/be3375e1/1996-1997/Extremadura-Stats
ESP-La Liga,9697,Hércules,28,27.3,,42,,3780,42,,,,,,,123,,,,,,,/en/squads/4222a514/1996-1997/Hercules-Stats
ESP-La Liga,9697,Logroñés,30,25.0,,42,,3780,42,,,,,,,108,,,,,,,/en/squads/696c8d95/Logrones-Stats
ESP-La Liga,9697,Oviedo,24,25.5,,42,,3780,42,,,,,,,119,,,,,,,/en/squads/ab358912/1996-1997/Oviedo-Stats
ESP-La Liga,9697,Racing Sant,27,25.2,,42,,3780,42,,,,,,,122,,,,,,,/en/squads/dee3bbc8/1996-1997/Racing-Santander-Stats
ESP-La Liga,9697,Rayo Vallecano,22,27.0,,42,,3780,42,,,,,,,119,,,,,,,/en/squads/98e8af82/1996-1997/Rayo-Vallecano-Stats
