,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Home_GoalsScored_Last5,Home_GoalsConceded_Last5,Away_GoalsScored_Last5,Away_GoalsConceded_Last5
229,Barcelona,La Coruna,1,1,D,0.0,1.0,A,0.8,1.2,2.6,0.6
230,Valencia,La Coruna,2,1,H,0.0,1.0,A,1.4,0.8,2.4,0.2
231,Tenerife,Sevilla,4,2,H,2.0,0.0,H,1.6,1.2,0.6,1.4
232,Sociedad,Ath Madrid,1,0,H,1.0,0.0,H,2.0,1.6,2.2,0.6
233,Santander,Ath Bilbao,1,1,D,1.0,0.0,H,1.6,2.4,0.8,1.0
234,Salamanca,Espanol,2,2,D,1.0,0.0,H,2.2,2.4,1.4,1.2
235,Real Madrid,Vallecano,1,2,A,1.0,1.0,D,1.8,1.6,1.6,2.2
236,Oviedo,Zaragoza,1,1,D,1.0,1.0,D,0.6,1.4,1.8,1.6
237,Compostela,Celta,1,1,D,1.0,1.0,D,1.2,0.8,1.0,0.8
238,Betis,Merida,0,1,A,0.0,0.0,D,1.0,1.0,1.0,1.6
239,Barcelona,Valladolid,1,0,H,0.0,0.0,D,0.8,0.8,1.4,3.0
240,Albacete,Sp Gijon,1,3,A,1.0,2.0,A,2.8,2.4,0.8,2.0
241,Vallecano,Oviedo,1,2,A,0.0,1.0,A,2.0,1.2,0.6,1.2
242,Valladolid,Valencia,2,5,A,0.0,3.0,A,0.8,2.2,1.8,0.8
243,Sp Gijon,Sociedad,1,1,D,0.0,1.0,A,1.4,2.0,1.6,1.0
244,Sevilla,Albacete,1,1,D,1.0,0.0,H,0.8,2.0,2.4,2.8
245,Zaragoza,Betis,1,2,A,0.0,1.0,A,1.0,1.2,0.8,1.0
246,Espanol,Tenerife,2,1,H,0.0,1.0,A,1.4,1.4,2.2,1.0
247,Celta,Salamanca,2,1,H,2.0,1.0,H,1.2,0.8,2.0,2.2
248,Ath Madrid,Santander,2,0,H,1.0,0.0,H,2.0,0.8,1.8,2.2
249,Ath Bilbao,Real Madrid,0,5,A,0.0,1.0,A,0.8,1.0,1.8,2.0
250,La Coruna,Compostela,2,0,H,1.0,0.0,H,1.4,0.6,1.0,1.0
251,Merida,Barcelona,0,0,D,0.0,0.0,D,1.0,1.4,0.8,0.8
252,Salamanca,La Coruna,0,5,A,0.0,3.0,A,2.0,2.2,1.2,0.6
253,Valencia,Merida,4,1,H,2.0,0.0,H,2.2,1.0,0.8,1.2
254,Tenerife,Celta,1,0,H,1.0,0.0,H,2.2,1.4,1.4,1.0
255,Santander,Sp Gijon,1,1,D,1.0,1.0,D,1.4,2.4,1.4,1.6
256,Oviedo,Real Madrid,1,2,A,1.0,1.0,D,1.0,1.2,2.8,1.4
257,Sociedad,Sevilla,1,0,H,1.0,0.0,H,1.8,1.0,0.8,2.2
258,Betis,Vallecano,0,0,D,0.0,0.0,D,1.0,1.0,2.0,1.4
259,Barcelona,Zaragoza,3,1,H,1.0,0.0,H,0.8,0.6,1.0,1.4
260,Ath Madrid,Ath Bilbao,4,1,H,2.0,1.0,H,1.8,0.8,0.8,1.6
261,Albacete,Espanol,0,0,D,0.0,0.0,D,2.2,3.0,1.6,1.4
262,Compostela,Valladolid,1,3,A,0.0,2.0,A,1.0,0.8,1.0,3.0
263,Sp Gijon,Ath Madrid,1,2,A,0.0,1.0,A,1.6,1.6,2.0,0.8
264,Zaragoza,Valencia,4,1,H,1.0,0.0,H,1.2,1.8,2.8,1.2
265,Valladolid,Salamanca,1,0,H,0.0,0.0,D,1.4,2.4,1.8,2.6
266,Sevilla,Santander,0,1,A,0.0,1.0,A,0.8,2.2,1.6,2.2
267,Real Madrid,Betis,4,2,H,2.0,2.0,D,2.4,1.4,1.0,0.4
268,Merida,Compostela,0,2,A,0.0,0.0,D,0.8,1.2,1.0,1.4
269,Celta,Albacete,2,2,D,1.0,0.0,H,0.8,1.2,1.6,2.0
270,Espanol,Sociedad,0,0,D,0.0,0.0,D,1.4,1.0,1.0,0.4
271,Ath Bilbao,Oviedo,0,1,A,0.0,1.0,A,0.8,2.4,1.2,1.2
272,Vallecano,Barcelona,1,1,D,1.0,0.0,H,1.2,1.2,1.0,0.6
273,La Coruna,Tenerife,1,1,D,0.0,1.0,A,1.8,0.6,2.0,1.4
274,Valencia,Vallecano,3,0,H,2.0,0.0,H,3.0,1.6,1.2,1.2
275,Ath Madrid,Sevilla,0,1,A,0.0,0.0,D,1.8,0.8,0.8,2.2
276,Barcelona,Real Madrid,3,0,H,1.0,0.0,H,1.2,0.6,2.8,1.4
277,Albacete,La Coruna,1,0,H,1.0,0.0,H,1.0,1.4,2.0,0.8
278,Betis,Oviedo,2,1,H,1.0,0.0,H,1.4,1.2,1.0,0.8
279,Compostela,Zaragoza,3,2,H,0.0,2.0,A,1.2,1.4,1.8,1.8
280,Salamanca,Merida,2,2,D,1.0,0.0,H,1.4,2.2,0.4,1.2
281,Santander,Espanol,1,1,D,1.0,0.0,H,0.8,1.2,1.0,1.0
282,Sociedad,Celta,3,1,H,1.0,0.0,H,1.0,0.4,1.0,1.6
283,Sp Gijon,Ath Bilbao,1,2,A,0.0,1.0,A,1.2,1.6,0.8,2.6
284,Tenerife,Valladolid,1,0,H,1.0,0.0,H,2.0,1.0,1.2,2.0
285,Zaragoza,Salamanca,1,1,D,1.0,1.0,D,1.8,2.0,1.0,2.4
286,Real Madrid,Valencia,0,0,D,0.0,0.0,D,2.4,1.6,3.0,1.6
287,Vallecano,Compostela,0,1,A,0.0,1.0,A,0.8,1.4,1.4,1.6
288,Valladolid,Albacete,3,0,H,1.0,0.0,H,1.2,1.6,1.0,1.2
289,Sevilla,Sp Gijon,2,0,H,0.0,0.0,D,0.8,1.4,1.4,1.4
290,Oviedo,Barcelona,1,2,A,1.0,1.0,D,1.2,1.2,1.6,0.4
291,Celta,Santander,0,0,D,0.0,0.0,D,1.2,1.6,0.8,1.0
292,La Coruna,Sociedad,1,1,D,0.0,1.0,A,1.8,0.8,1.2,0.4
293,Espanol,Ath Madrid,0,2,A,0.0,1.0,A,1.0,0.8,1.6,0.8
294,Ath Bilbao,Betis,0,1,A,0.0,0.0,D,0.8,2.4,1.2,1.4
295,Merida,Tenerife,2,0,H,2.0,0.0,H,0.8,1.6,1.6,1.0
296,Santander,La Coruna,2,1,H,1.0,0.0,H,0.6,0.8,1.8,0.6
297,Tenerife,Zaragoza,1,2,A,1.0,1.0,D,0.8,1.0,1.8,2.0
298,Barcelona,Betis,1,0,H,0.0,0.0,D,1.8,0.6,1.4,1.2
299,Sp Gijon,Espanol,2,3,A,1.0,1.0,D,0.8,1.6,0.6,0.8
300,Valencia,Oviedo,3,1,H,1.0,1.0,D,2.6,1.4,1.2,1.4
